强弱分析报表 市场:深沪Ａ股 日期:2013-12-27,五 基准:无
代码   	名称	今日强	3日强	5日强	10日强	20日强	60日强	一年来	年初至今	开盘	最高	最低	收盘	总金额	
000001	平安银行	2.62	0.43	-1.34	-6.37	-13.60	-1.26	23.68	18.61	11.46	11.89	11.43	11.75	  7.33亿	
000002	万  科Ａ	2.95	2.55	2.29	-5.97	-8.33	-11.37	-19.22	-19.22	7.85	8.10	7.81	8.03	  5.90亿	
000004	国农科技	3.03	1.14	1.94	-0.35	-7.67	-9.06	43.66	41.20	11.23	11.55	11.18	11.55	  961万	
000005	世纪星源	0.82	-1.20	-1.60	-7.17	-7.52	0.82	-16.04	-17.17	2.44	2.47	2.41	2.46	  813万	
000006	深振业Ａ	1.66	-3.93	-2.98	-13.91	-15.54	6.30	8.32	5.87	4.82	4.90	4.82	4.89	 2955万	
000007	零七股份	0.00	0.00	-1.52	-3.20	-8.19	-3.63	-7.14	-10.16	12.90	13.04	12.80	13.00	 1189万	
000008	宝利来	-0.55	-8.93	-5.68	-6.27	-10.75	-7.43	72.00	67.19	9.00	9.15	8.90	8.97	 1582万	
000009	中国宝安	1.21	2.11	1.99	1.10	-5.92	-7.99	23.59	20.77	9.07	9.25	9.04	9.21	 8708万	
000010	深华新	0.00	0.80	4.12	12.11	-5.60	17.86	62.35	62.35	7.59	7.75	7.52	7.59	 4388万	
000011	深物业A	1.31	-0.13	0.91	-6.76	-2.52	-7.87	10.43	7.51	7.55	7.77	7.55	7.73	 1213万	
000012	南  玻Ａ	1.14	0.13	-2.32	-9.18	-12.55	-5.09	1.14	-1.11	7.96	8.09	7.84	8.01	  1.38亿	
000014	沙河股份	0.80	-2.42	0.80	-6.85	-11.90	-3.54	19.53	19.10	9.96	10.17	9.94	10.07	 2376万	
000016	深康佳Ａ	0.27	-1.59	-2.11	-9.27	-6.77	8.77	22.37	18.10	3.72	3.79	3.69	3.72	 2614万	
000017	*ST中华A	-4.99	-11.79	-10.85	-18.64	5.54	39.20	-5.84	53.48	4.45	4.55	4.19	4.19	 5197万	
000018	*ST中冠A	5.04	5.99	7.82	5.99	-3.30	-7.86	40.00	40.21	8.88	9.38	8.88	9.38	 1336万	
000019	深深宝Ａ	2.03	0.40	1.48	-7.27	-3.46	-5.88	-3.95	-8.39	7.36	7.55	7.36	7.53	  632万	
000020	深华发Ａ	2.22	0.78	0.62	-5.15	-4.59	-2.12	3.20	3.70	6.36	6.47	6.31	6.45	  377万	
000021	长城开发	1.36	0.19	-1.51	-4.57	-4.57	-13.72	15.23	11.30	5.15	5.23	5.12	5.22	 2772万	
