强弱分析报表 市场:深沪Ａ股 日期:2013-12-24,二 基准:无
代码   	名称	今日强	3日强	5日强	10日强	20日强	60日强	一年来	年初至今	开盘	最高	最低	收盘	总金额	
000001	平安银行	0.67	-3.76	-5.42	-9.48	-10.69	-1.96	30.94	21.44	12.00	12.12	11.90	12.03	  2.18亿	
000002	万  科Ａ	1.54	-2.83	-4.35	-8.77	-7.38	-15.85	-14.49	-20.42	7.80	7.95	7.79	7.91	  2.19亿	
000004	国农科技	0.35	1.97	1.88	-1.73	-6.57	-7.11	45.96	39.00	11.30	11.45	11.22	11.37	  473万	
000005	世纪星源	2.04	-1.19	-2.34	-6.02	-5.66	-1.19	-11.66	-15.82	2.48	2.53	2.47	2.50	  378万	
000006	深振业Ａ	1.78	-1.91	-5.17	-8.54	-11.38	7.08	20.20	11.28	5.04	5.21	5.04	5.14	 3029万	
000007	零七股份	0.47	-0.31	-1.82	-5.95	-8.35	-10.00	-2.56	-10.44	12.92	13.03	12.90	12.96	  400万	
000008	宝利来	4.42	6.84	7.07	3.68	2.01	4.10	98.63	89.19	10.03	10.69	10.02	10.15	 3792万	
000009	中国宝安	0.99	-1.40	0.44	-3.69	-4.79	-11.35	27.25	19.85	9.05	9.19	9.02	9.14	 3305万	
000010	深华新	0.40	3.28	-4.79	0.13	-4.79	23.97	61.50	61.50	7.51	7.60	7.42	7.55	 2321万	
000011	深物业A	2.75	0.26	-1.26	-4.39	-0.38	-12.11	22.50	9.04	7.80	7.92	7.76	7.84	 1236万	
000012	南  玻Ａ	0.73	-1.31	-2.47	-9.51	-7.49	-7.90	6.84	2.22	8.23	8.34	8.23	8.28	 5614万	
000014	沙河股份	4.00	2.77	0.97	-5.29	-6.98	-14.63	32.61	22.89	10.29	10.69	10.20	10.39	 4487万	
000016	深康佳Ａ	0.79	-0.26	-2.53	-8.11	6.06	9.37	30.07	22.22	3.81	3.88	3.78	3.85	 1248万	
000017	*ST中华A	0.00	-7.10	-12.16	-15.01	0.48	46.50	0.00	0.00	4.19	4.19	4.19	4.19	   0.0	
000018	*ST中冠A	1.37	3.36	1.95	1.95	-6.21	-13.16	38.14	33.18	8.77	8.99	8.77	8.91	  337万	
000019	深深宝Ａ	1.22	-1.19	-3.35	-7.53	-3.10	-6.38	3.60	-8.88	7.41	7.53	7.41	7.49	  614万	
000020	深华发Ａ	1.75	-4.91	-4.48	-6.85	-4.91	-7.93	7.39	2.73	6.33	6.45	6.32	6.39	  318万	
000021	长城开发	1.94	-4.37	-1.87	-3.14	-2.60	-11.02	18.78	11.94	5.17	5.27	5.15	5.25	 1294万	
000022	深赤湾Ａ	6.91	8.86	5.83	-3.41	0.84	12.22	78.97	70.39	16.30	17.18	16.30	16.71	  1.10亿	
000023	深天地Ａ	2.75	3.79	1.86	3.79	2.49	5.38	32.58	27.05	8.06	8.35	8.06	8.22	 1035万	
000024	招商地产	2.00	-0.44	-2.62	-5.59	-5.93	-17.57	-20.34	-30.89	20.04	20.57	20.04	20.45	 9634万	
000025	特  力Ａ	2.56	3.13	-5.33	4.89	25.07	30.92	54.61	50.08	9.05	9.32	9.05	9.23	 1931万	
000026	飞亚达Ａ	1.19	-0.78	-2.92	-3.77	1.32	4.51	8.20	-3.41	7.59	7.70	7.55	7.65	 1304万	
000027	深圳能源	0.93	-0.55	-1.27	-6.38	-2.34	-2.16	-5.40	-7.65	5.40	5.45	5.37	5.43	 1488万	
000028	国药一致	1.18	11.67	11.86	12.43	18.02	12.29	47.10	26.99	44.59	44.70	42.81	44.60	 6786万	
000029	深深房Ａ	1.32	-3.27	-7.00	-1.79	0.79	6.35	1.58	-6.33	3.82	3.89	3.81	3.85	 1624万	
000030	富奥股份	0.32	-2.35	-7.69	-0.64	1.46	-9.17	-22.96	-26.67	6.22	6.30	6.16	6.24	 1020万	
000031	中粮地产	1.36	-0.80	-3.37	-6.28	-2.61	-5.81	-4.60	-13.86	3.68	3.74	3.68	3.73	  768万	
000032	深桑达Ａ	0.92	-1.36	-1.58	-4.38	-5.31	-13.74	35.35	22.61	8.62	8.76	8.60	8.73	  337万	
000033	新都酒店	1.60	-2.30	-3.05	-7.06	-11.37	-3.29	-10.96	-10.54	3.76	3.84	3.76	3.82	  235万	
000034	深信泰丰	0.95	-2.31	-4.94	-9.03	-1.86	-1.40	8.18	3.68	4.19	4.25	4.16	4.23	  738万	
000035	*ST科健	0.48	-4.55	-5.15	-7.73	-7.73	-4.81	-14.29	-14.29	10.37	10.55	10.37	10.50	  473万	
000036	华联控股	2.12	-1.03	-3.02	-5.86	-5.25	2.12	-11.89	-17.19	2.87	2.95	2.87	2.89	 1088万	
000037	深南电Ａ	1.26	0.75	-0.25	-1.72	-4.30	-1.47	-1.23	-4.75	3.92	4.03	3.92	4.01	  115万	
000038	深大通	0.50	-0.91	-0.91	-4.53	-0.91	-4.53			11.98	12.08	11.70	12.01	  155万	
000039	中集集团	0.00	-1.64	-0.65	-5.47	0.44	-2.61	31.12	22.30	13.82	13.82	13.82	13.82	   0.0	
