"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ALSE","Alseres Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",0.81,,0.02,-31.43%,4900
2,"CELH","Celsius Holdings, Inc.","Consumer Goods","Beverages - Soft Drinks","USA",7.39,,0.34,-15.00%,1220
3,"CNAT","Conatus Pharmaceuticals Inc.","Healthcare","Biotechnology","USA",16.23,,11.78,-17.33%,1585720
4,"DGAZ","VelocityShares 3x Inv Natural Gas ETN","Financial","Exchange Traded Fund","USA",,,8.30,-15.82%,6018579
5,"GSE","GSE Holdings Inc.","Basic Materials","Synthetics","USA",28.07,,0.78,-44.10%,4571380
6,"ICPT","Intercept Pharmaceuticals, Inc.","Healthcare","Drug Manufacturers - Major","USA",8559.49,,364.36,-18.27%,3228374
7,"JDST","Direxion Daily Jr Gld Mnrs Bear 3X Shrs","Financial","Exchange Traded Fund","USA",,,43.76,-17.70%,74251
8,"LULU","Lululemon Athletica Inc.","Consumer Goods","Textile - Apparel Clothing","Canada",8649.15,31.20,49.70,-16.61%,24007388
9,"MANH","Manhattan Associates, Inc.","Technology","Application Software","USA",2328.15,37.95,31.26,-74.34%,554614
10,"ORCT","Orckit Communications Ltd.","Technology","Communication Equipment","Israel",2.28,,0.09,-15.00%,38220
11,"PGEM","Ply Gem Holdings, Inc","Industrial Goods","General Building Materials","USA",1140.37,,14.06,-17.25%,1096895
12,"SODA","SodaStream International Ltd.","Consumer Goods","Beverages - Soft Drinks","Israel",1039.26,21.79,36.94,-25.96%,10812559
