"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"A","Agilent Technologies Inc.","Healthcare","Medical Laboratories & Research","USA",20167.83,29.01,59.47,-2.40%,3065622
2,"AA","Alcoa, Inc.","Basic Materials","Aluminum","USA",13079.18,,12.07,-1.23%,58222564
3,"AADR","WCM/BNY Mellon Focused Growth ADR ETF","Financial","Exchange Traded Fund","USA",,,37.17,-1.35%,3089
4,"AAIT","iShares MSCI AC Asia Information Tech","Financial","Exchange Traded Fund","USA",,,32.17,-0.19%,730
5,"AAL","American Airlines Group Inc.","Services","Major Airlines","USA",10483.20,27.61,31.35,0.48%,10815969
6,"AAMC","Altisource Asset Management Corporation","Financial","Asset Management","USA",2705.39,,1073.75,-6.73%,15842
7,"AAME","Atlantic American Corp.","Financial","Life Insurance","USA",85.20,8.89,4.00,0.00%,20136
8,"AAN","Aaron's, Inc.","Services","Rental & Leasing Services","USA",2079.84,15.53,27.35,0.07%,1205490
9,"AAOI","Applied Optoelectronics, Inc.","Technology","Semiconductor - Integrated Circuits","USA",178.35,,13.73,-2.97%,37855
10,"AAON","AAON Inc.","Industrial Goods","General Building Materials","USA",1257.68,38.03,33.34,-2.60%,132659
11,"AAP","Advance Auto Parts Inc.","Services","Auto Parts Stores","USA",8565.96,21.25,116.31,-1.22%,659475
12,"AAPL","Apple Inc.","Consumer Goods","Electronic Equipment","USA",498653.29,13.92,556.18,0.85%,14343942
13,"AAT","American Assets Trust, Inc.","Financial","REIT - Office","USA",1278.13,642.00,32.45,1.09%,84829
14,"AAU","Almaden Minerals Ltd.","Basic Materials","Gold","Canada",91.88,,1.60,4.58%,174517
15,"AAV","Advantage Oil & Gas Ltd.","Basic Materials","Oil & Gas Drilling & Exploration","Canada",722.36,,4.27,-0.47%,145259
16,"AAWW","Atlas Air Worldwide Holdings Inc.","Services","Air Services, Other","USA",990.64,8.86,38.60,-2.11%,632877
17,"AAXJ","iShares MSCI All Country Asia ex Jpn Idx","Financial","Exchange Traded Fund","USA",,,57.30,-2.32%,996435
18,"AB","AllianceBernstein Holding L.P.","Financial","Asset Management","USA",2120.09,16.90,22.60,-1.65%,258172
19,"ABAX","Abaxis Inc.","Healthcare","Diagnostic Substances","USA",984.36,52.54,43.40,-1.65%,202104
20,"ABB","ABB Ltd.","Industrial Goods","Industrial Equipment & Components","Switzerland",58780.23,20.47,26.00,1.60%,2985760
21,"ABBV","AbbVie Inc.","Healthcare","Drug Manufacturers - Major","USA",78037.20,17.22,48.86,-0.45%,6798348
22,"ABC","AmerisourceBergen Corporation","Services","Drugs Wholesale","USA",16195.96,33.47,69.64,-0.91%,1980346
23,"ABCB","Ameris Bancorp","Financial","Regional - Mid-Atlantic Banks","USA",497.38,24.20,20.97,0.77%,54924
24,"ABCD","Cambium Learning Group, Inc.","Services","Education & Training Services","USA",95.13,,1.93,-3.50%,6667
25,"ABCO","Advisory Board Co.","Services","Business Services","USA",2279.65,99.27,63.60,0.12%,189110
26,"ABFS","Arkansas Best Corporation","Services","Trucking","USA",916.24,,34.95,-1.83%,202318
27,"ABG","Asbury Automotive Group, Inc.","Services","Auto Dealerships","USA",1532.54,16.16,49.37,-1.10%,265811
28,"ABIO","ARCA biopharma, Inc.","Healthcare","Biotechnology","USA",23.40,,2.18,0.93%,1139684
29,"ABM","ABM Industries Inc.","Services","Business Services","USA",1560.77,21.70,28.09,-0.43%,198816
30,"ABMC","American Bio Medica Corp.","Healthcare","Diagnostic Substances","USA",2.72,,0.13,0.00%,21739
31,"ABMD","Abiomed Inc.","Healthcare","Medical Appliances & Equipment","USA",1082.40,196.93,27.25,-1.16%,253698
32,"ABR","Arbor Realty Trust Inc.","Financial","REIT - Diversified","USA",297.06,22.23,7.01,1.74%,152158
33,"ABT","Abbott Laboratories","Healthcare","Medical Appliances & Equipment","USA",59077.14,21.15,37.43,-1.68%,10198743
34,"ABTL","Autobytel Inc.","Technology","Internet Information Providers","USA",159.77,71.80,17.72,-1.28%,232155
35,"ABX","Barrick Gold Corporation","Basic Materials","Gold","Canada",18818.80,,19.31,2.71%,17916988
36,"ACAD","ACADIA Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",2175.84,,24.23,-0.33%,831696
37,"ACAS","American Capital, Ltd.","Financial","Asset Management","USA",4664.22,10.11,16.12,-0.98%,1063461
38,"ACAT","Arctic Cat Inc.","Consumer Goods","Recreational Vehicles","USA",718.85,17.79,47.82,-11.00%,1937773
39,"ACC","American Campus Communities Inc.","Financial","REIT - Residential","USA",3672.57,87.62,35.16,0.31%,781422
40,"ACCL","Accelrys Inc.","Technology","Application Software","USA",588.33,,10.47,-0.95%,225320
41,"ACCO","ACCO Brands Corporation","Consumer Goods","Office Supplies","USA",769.07,67.70,6.57,-2.95%,638341
42,"ACCU","AdvisorShares Accuvest Global Opport ETF","Financial","Exchange Traded Fund","USA",,,27.37,-1.58%,10750
43,"ACE","ACE Limited","Financial","Property & Casualty Insurance","Switzerland",32728.75,9.37,94.18,-1.91%,2865084
44,"ACET","Aceto Corp.","Basic Materials","Chemicals - Major Diversified","USA",647.85,22.66,22.78,-2.40%,238899
