"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"CETV",2.86,0.18,62.36%,50.61%,29.23%,-28.72%,133.50%,79.50,4.74,74.91%,41.49%,23.62%,22079446
2,"CCCR",,0.31,29.64%,15.72%,-4.43%,-56.68%,39.53%,69.02,8.40,32.28%,33.76%,-1.10%,622143
3,"MY",2.41,0.21,47.14%,57.06%,88.50%,15.06%,258.41%,79.14,4.05,25.00%,22.73%,1.85%,9265285
4,"AAOI",,1.17,54.80%,60.04%,76.27%,12.03%,160.86%,80.83,23.66,23.23%,0.47%,22.66%,481985
5,"CBAK",2.28,0.25,90.94%,80.48%,104.95%,7.54%,528.81%,82.38,3.71,22.85%,21.64%,0.99%,2508378
6,"HPJ",1.61,0.35,76.61%,87.34%,175.63%,4.02%,463.04%,89.90,5.18,22.75%,17.46%,4.50%,2186358
7,"FNHC",0.61,0.36,23.63%,19.44%,43.28%,5.38%,192.77%,79.21,15.88,15.66%,11.05%,4.15%,417190
8,"MXWL",1.63,0.42,18.58%,25.33%,27.03%,-1.64%,108.57%,70.98,10.22,15.35%,14.83%,0.45%,1915913
9,"MOBI",,0.45,50.94%,64.22%,86.13%,7.14%,367.53%,80.82,7.20,14.65%,15.02%,-0.32%,1061439
10,"CTP",,0.25,16.78%,15.48%,33.45%,0.00%,174.12%,78.04,6.99,14.59%,5.91%,8.20%,49822
11,"RMGN",,0.22,25.89%,22.81%,-22.01%,-72.28%,40.56%,74.22,6.03,14.42%,14.20%,0.19%,110214
12,"ARTX",1.17,0.22,26.91%,12.02%,63.94%,-14.32%,241.00%,66.65,3.41,13.67%,10.00%,3.33%,3081483
13,"NCTY",1.39,0.15,23.62%,19.63%,-1.77%,-37.78%,34.62%,67.47,2.80,13.36%,14.75%,-1.21%,1431404
14,"WG",2.50,0.33,17.89%,12.65%,17.50%,-5.45%,61.17%,73.32,9.88,13.04%,12.53%,0.46%,903973
15,"VIPS",,6.77,21.53%,34.61%,107.93%,7.11%,464.57%,73.74,131.32,12.65%,11.92%,0.65%,1416874
16,"WUBA",,2.68,26.89%,26.24%,34.91%,3.71%,123.59%,68.51,47.29,12.62%,-1.87%,14.77%,3299291
17,"DRQ",1.72,2.43,7.98%,3.28%,3.53%,-11.16%,40.71%,60.85,107.56,12.15%,8.18%,3.67%,1415720
18,"FLXN",,0.83,20.23%,20.23%,20.23%,9.72%,30.96%,,18.40,11.85%,14.93%,-2.67%,105355
19,"PWRD",2.05,0.89,13.24%,17.15%,20.98%,-0.88%,132.72%,66.34,22.62,11.81%,10.23%,1.43%,2767883
20,"CRMD",-0.93,0.21,24.33%,46.29%,148.21%,-3.79%,481.25%,73.33,2.79,10.71%,6.49%,3.97%,407174
21,"MELI",1.79,3.83,11.24%,5.66%,-8.97%,-28.54%,24.31%,63.23,104.18,10.56%,-4.16%,15.36%,3915900
22,"TUMI",,0.51,10.40%,4.86%,-0.54%,-15.55%,18.76%,66.06,22.16,10.30%,-2.25%,12.84%,1998440
23,"FRED",1.08,0.40,15.94%,12.43%,20.58%,1.55%,57.85%,78.74,19.93,10.17%,9.27%,0.83%,884631
24,"LIQT",,0.23,1.63%,8.57%,-10.26%,-31.43%,34.83%,54.66,2.40,10.09%,11.11%,-0.92%,74906
25,"NNI",0.97,0.81,11.06%,4.16%,2.19%,-11.55%,28.42%,70.56,40.12,10.04%,7.02%,2.83%,411003
26,"EVC",2.79,0.22,10.73%,9.17%,14.30%,-6.81%,261.78%,66.72,6.63,9.95%,4.41%,5.31%,2308930
27,"FREE",,0.11,8.97%,3.95%,-3.77%,-82.42%,122.35%,54.70,1.89,9.88%,9.25%,0.58%,7968905
28,"AMCN",1.82,0.17,14.21%,20.03%,35.22%,-20.00%,70.67%,62.85,2.56,9.87%,8.02%,1.72%,683582
29,"MAMS",0.43,0.30,8.89%,11.91%,27.84%,-4.93%,86.29%,66.31,5.98,9.52%,8.73%,0.73%,35374
30,"PFMT",,0.38,1.99%,-14.21%,-22.91%,-43.86%,11.25%,45.76,7.91,9.41%,9.56%,-0.14%,1268357
31,"GNK",1.74,0.15,-6.63%,-22.57%,-31.28%,-67.07%,46.43%,39.94,1.64,9.33%,7.89%,1.33%,2914216
32,"DAEG",0.85,0.08,2.12%,0.24%,7.87%,-28.48%,40.48%,53.21,1.18,9.26%,5.36%,3.70%,63442
33,"IRIX",1.83,0.49,11.55%,2.31%,30.07%,-14.55%,134.41%,60.26,9.40,9.18%,6.94%,2.09%,136036
34,"LIVE",-0.93,1.19,5.38%,63.67%,292.58%,-34.84%,1079.21%,56.41,7.78,8.96%,8.06%,0.84%,2469576
35,"SBLK",1.88,0.45,6.96%,1.25%,42.87%,-12.29%,133.90%,58.16,12.35,8.91%,8.91%,0.00%,418925
36,"TAST",1.50,0.25,15.84%,13.52%,14.95%,1.72%,52.69%,71.35,7.10,8.90%,2.90%,5.83%,516661
37,"CARA",,1.69,21.43%,21.43%,21.43%,3.11%,32.96%,,18.88,8.76%,4.37%,4.21%,1054920
38,"BSI",1.49,0.08,11.62%,6.41%,11.06%,-10.34%,56.83%,69.88,4.25,8.70%,8.42%,0.26%,11620
39,"GLNG",1.45,1.06,5.96%,3.99%,3.50%,-8.18%,22.94%,59.53,36.60,8.41%,6.40%,1.90%,2952787
40,"LDRH",,1.54,15.82%,20.31%,29.99%,0.81%,75.66%,73.34,31.25,8.36%,-0.45%,8.84%,121716
41,"NEWM",,0.87,12.61%,12.61%,12.61%,1.05%,39.13%,,14.40,8.27%,8.35%,-0.08%,1069733
42,"MEG",3.34,0.82,11.78%,-3.35%,33.84%,-20.86%,291.13%,59.11,18.97,8.21%,7.48%,0.68%,431590
43,"IMMY",-1.46,0.53,11.63%,44.89%,38.77%,-13.55%,187.21%,73.12,8.65,8.06%,6.07%,1.87%,146300
