"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"DCTH",2.42,0.47,-7.18%,-9.87%,-16.68%,-82.93%,27.27%,45.22,4.48,0.00%,0.00%,0.00%,0
2,"SHI",0.95,0.81,9.43%,5.69%,15.58%,-5.24%,59.50%,63.11,29.85,0.00%,0.00%,0.00%,0
3,"BPTH",0.92,0.28,8.05%,-16.67%,30.04%,-42.86%,650.00%,50.52,3.00,0.00%,0.00%,0.00%,0
4,"IGTE",1.67,1.44,21.02%,17.70%,28.58%,-6.67%,176.47%,74.77,38.65,0.00%,0.00%,0.00%,0
5,"TITN",1.42,0.70,14.57%,13.97%,5.67%,-24.42%,27.84%,70.69,18.14,0.00%,0.00%,0.00%,0
6,"RTK",3.12,0.10,10.57%,10.80%,6.09%,-17.67%,32.26%,64.36,2.05,0.00%,0.00%,0.00%,0
7,"SPCB",,0.47,12.01%,18.92%,50.91%,-4.33%,683.22%,67.97,7.29,0.00%,0.00%,0.00%,0
8,"CSH",0.63,1.42,8.82%,8.57%,5.80%,-13.29%,24.36%,65.03,43.24,0.00%,0.00%,0.00%,0
9,"RT",1.44,0.27,19.64%,17.58%,-1.67%,-32.53%,29.96%,77.03,6.68,0.00%,0.00%,0.00%,0
10,"CLDN",,1.41,-0.13%,12.92%,12.92%,-30.83%,59.33%,54.35,11.87,0.00%,0.00%,0.00%,0
11,"EONC",0.98,0.48,-2.48%,-3.99%,112.59%,-32.18%,615.49%,49.14,5.08,0.00%,0.00%,0.00%,0
12,"BAXS",0.41,0.09,7.29%,-8.58%,-19.93%,-54.40%,23.91%,51.05,1.14,0.00%,0.00%,0.00%,0
13,"GTT",0.36,0.82,5.09%,-0.60%,60.92%,-19.42%,369.13%,54.13,10.79,0.00%,0.00%,0.00%,0
14,"UBIC",,1.05,44.35%,72.08%,61.59%,-17.14%,147.99%,73.46,10.49,0.00%,0.00%,0.00%,0
15,"CPSS",1.12,0.40,11.56%,5.01%,10.25%,-24.95%,41.53%,61.62,7.94,0.00%,0.00%,0.00%,0
16,"ACH",1.99,0.22,17.27%,15.27%,16.34%,-4.75%,40.97%,80.92,10.22,0.00%,0.00%,0.00%,0
17,"NNVC",0.79,0.21,-0.81%,-7.62%,-19.65%,-53.75%,85.71%,51.98,3.51,0.00%,0.00%,0.00%,0
18,"RAD",1.57,0.32,6.27%,9.38%,40.23%,-6.09%,254.08%,62.60,6.94,0.00%,0.00%,0.00%,0
19,"PFIE",0.91,0.18,11.56%,4.62%,30.90%,-18.51%,233.04%,64.66,3.83,0.00%,0.00%,0.00%,0
20,"YZC",1.99,0.25,12.32%,13.59%,-2.40%,-29.59%,32.59%,71.29,8.38,0.00%,0.00%,0.00%,0
21,"TC",2.07,0.13,14.78%,4.66%,-9.74%,-35.56%,51.74%,62.64,2.61,0.00%,0.00%,0.00%,0
22,"SYN",1.28,0.25,-10.37%,-3.85%,37.23%,-31.87%,161.05%,46.74,2.48,0.00%,0.00%,0.00%,0
23,"GNK",1.39,0.29,21.38%,16.70%,-18.57%,-60.84%,74.11%,58.29,1.95,0.00%,0.00%,0.00%,0
24,"GLDC",0.49,0.10,3.95%,6.45%,14.91%,-1.96%,38.10%,61.37,4.45,0.00%,0.00%,0.00%,0
25,"DGLY",0.93,0.47,-13.66%,-22.02%,-35.54%,-65.66%,71.43%,31.57,6.00,0.00%,0.00%,0.00%,0
26,"RWC",2.16,0.11,1.53%,-0.49%,3.93%,-22.00%,51.18%,52.81,3.19,0.00%,0.00%,0.00%,0
27,"ZN",1.37,0.10,6.42%,12.85%,11.97%,-32.11%,62.40%,68.60,2.03,0.00%,0.00%,0.00%,0
28,"GIG",2.47,0.13,9.88%,10.27%,25.15%,-7.58%,120.48%,61.23,1.83,0.00%,0.00%,0.00%,0
29,"PBCP",-0.39,0.11,3.95%,3.68%,1.64%,-3.10%,13.52%,66.07,9.99,0.00%,0.00%,0.00%,0
