"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
1,"A",18991.60,333.42,332.95,0.30%,-4.67%,86.40%,1.29%,0.95%,1.44,2203.30,56.94,-0.04%,2523809
2,"AA",15919.70,1172.29,1170.74,0.20%,47.31%,68.10%,9.03%,6.41%,3.46,21703.05,13.61,0.22%,9395764
3,"AADR",,,,,,,,,,2.51,38.20,-0.16%,49
4,"AAIT",,,,,,,,,0.00,2.80,33.50,-0.48%,497
5,"AAL",28678.36,720.20,716.11,0.80%,372.03%,58.20%,65.26%,2.09%,1.47,10162.25,40.16,0.85%,11233767
6,"AAMC",2152.75,2.24,1.58,3.10%,-14.73%,74.40%,13.48%,8.74%,7.21,19.12,983.16,2.30%,13979
7,"AAME",73.25,20.81,4.72,8.70%,,5.10%,2.81%,0.05%,0.25,9.77,3.60,2.27%,8122
8,"AAN",2371.31,72.23,70.05,0.70%,26.84%,0.80%,,9.50%,6.37,1044.57,32.84,0.03%,766647
9,"AAOI",319.91,14.79,13.70,1.10%,18.16%,48.80%,79.56%,4.43%,2.42,250.86,21.41,-1.02%,219595
10,"AAON",1147.30,36.62,28.06,21.50%,-1.48%,58.00%,-1.26%,3.54%,7.70,128.89,31.20,-0.41%,93817
11,"AAP",8921.29,72.94,72.51,0.60%,-20.09%,95.50%,0.27%,3.06%,2.85,778.94,124.17,1.52%,670296
12,"AAPL",547303.63,861.38,860.63,0.04%,6.82%,62.00%,-2.95%,2.16%,1.95,9564.18,633.00,-0.37%,19893306
13,"AAT",1446.59,41.93,35.88,1.10%,-6.68%,86.10%,2.81%,2.31%,5.57,149.06,34.30,-0.58%,171509
14,"AAU",87.35,64.70,52.89,5.36%,,5.90%,143.56%,0.79%,3.63,114.73,1.35,0.00%,126442
15,"AAV",983.05,168.62,167.51,0.25%,,58.00%,4.01%,0.22%,0.87,416.84,6.01,3.09%,492954
16,"AAWW",942.85,25.23,24.66,1.40%,14.97%,94.30%,7.09%,12.17%,10.49,286.13,36.59,-2.09%,138562
