"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"API","Advanced Photonix Inc.","Technology","Semiconductor - Integrated Circuits","USA",12.39,,0.43,29.81%,1530231
2,"AREX","Approach Resources, Inc.","Basic Materials","Oil & Gas Drilling & Exploration","USA",247.98,2.62,7.22,15.15%,1736663
3,"BBEP","Breitburn Energy Partners L.P.","Basic Materials","Oil & Gas Drilling & Exploration","USA",1382.72,,7.70,17.38%,5547768
4,"BPZ","BPZ Resources, Inc.","Basic Materials","Oil & Gas Drilling & Exploration","USA",26.70,,0.26,15.38%,2236235
5,"CACH","Cache Inc.","Services","Apparel Stores","USA",1.30,,0.05,18.10%,751628
6,"CLRX","CollabRx, Inc.","Technology","Healthcare Information Services","USA",2.90,,1.38,38.00%,638498
7,"CRK","Comstock Resources Inc.","Basic Materials","Independent Oil & Gas","USA",193.39,,5.06,25.25%,4503429
8,"DQ","Daqo New Energy Corp.","Technology","Semiconductor Equipment & Materials","China",175.94,26.96,22.90,16.36%,115631
9,"ENRJ","EnerJex Resources, Inc.","Basic Materials","Oil & Gas Refining & Marketing","USA",10.20,,1.60,20.30%,44450
10,"GASL","Direxion Daily Nat Gas Rltd Bull 3X ETF","Financial","Exchange Traded Fund","USA",,,3.30,17.44%,5716484
11,"HEB","Hemispherx Biopharma, Inc.","Healthcare","Biotechnology","USA",44.00,,0.30,36.36%,17483745
12,"ICI","iPath Optimized Currency Carry ETN","Financial","Exchange Traded Fund","USA",,,52.24,27.20%,493
13,"IMRS","IMRIS, Inc.","Healthcare","Medical Instruments & Supplies","Canada",52.03,,1.16,16.00%,830401
14,"MCP","Molycorp, Inc.","Basic Materials","Industrial Metals & Minerals","USA",80.80,,0.48,43.97%,9287192
15,"MILL","Miller Energy Resources, Inc.","Basic Materials","Independent Oil & Gas","USA",54.60,,1.49,27.35%,4673327
16,"MTSL","MER Telemanagement Solutions Ltd.","Technology","Diversified Communication Services","Israel",3.80,,0.96,18.23%,15100
17,"NES","Nuverra Environmental Solutions, Inc.","Industrial Goods","Waste Management","USA",60.90,,3.00,34.53%,4930527
18,"OHGI","One Horizon Group, Inc.","Technology","Application Software","Switzerland",39.80,,1.68,38.84%,47805
19,"PSTR","PostRock Energy Corporation","Basic Materials","Oil & Gas Drilling & Exploration","USA",9.70,,2.20,42.85%,91576
20,"SARA","Saratoga Resources Inc.","Basic Materials","Independent Oil & Gas","USA",4.69,,0.17,15.11%,139962
21,"SPPR","Supertel Hospitality, Inc.","Financial","REIT - Hotel/Motel","USA",7.39,,1.87,19.11%,16570
22,"SSN","Samson Oil & Gas Limited","Basic Materials","Oil & Gas Drilling & Exploration","Australia",21.93,,0.19,15.26%,623179
23,"UBIC","UBIC, Inc.","Technology","Information Technology Services","Japan",284.97,536.67,19.22,19.38%,1688
24,"VIDE","Video Display Corporation","Technology","Computer Peripherals","USA",16.00,,2.93,17.20%,300
25,"WAC","Walter Investment Management Corp.","Financial","Mortgage Investment","USA",568.29,,18.12,20.24%,1191835
26,"YOD","YOU On Demand Holdings, Inc.","Services","CATV Systems","USA",48.71,,2.46,20.00%,16143223
