强弱分析报表 市场:深沪Ａ股 日期:2013-12-24,二 基准:无
代码   	名称	今日强	3日强	5日强	10日强	20日强	60日强	一年来	年初至今	开盘	最高	最低	收盘	总金额	
002681	奋达科技	3.55	3.10	-12.03	0.09	8.42	151.03	502.09	449.05	52.48	56.00	52.25	54.85	  3.70亿	
300017	网宿科技	3.05	4.78	16.28	19.04	19.40	51.63	442.21	413.62	83.15	90.48	82.50	85.73	  4.02亿	
300315	掌趣科技	-0.03	-2.40	-2.91	0.37	-19.61	42.91	422.84	422.84	29.81	30.48	29.45	30.05	  3.04亿	
300191	潜能恒信	1.46	6.87	-4.78	9.78	-8.16	296.24	400.38	379.79	31.77	33.88	31.70	32.65	  4.72亿	
300052	中青宝	1.08	-6.06	-10.18	-8.77	-27.20	-42.33	375.59	335.21	23.96	24.55	23.90	24.35	  1.47亿	
300205	天喻信息	0.85	8.56	13.95	12.53	2.22	40.34	364.86	369.19	36.50	37.81	35.70	36.91	  1.23亿	
600648	外高桥	0.09	-6.42	-7.02	-13.95	-10.85	-44.80	354.80	240.02	32.16	32.65	31.80	32.20	  1.90亿	
300027	华谊兄弟	3.65	-2.03	-16.93	-9.95	3.08	-13.52	336.74	302.98	27.20	28.64	26.43	28.41	  24.0亿	
300226	上海钢联	-0.46	4.98	0.83	28.49	23.07	-12.91	332.00	320.71	36.00	37.30	35.58	36.49	  1.61亿	
300071	华谊嘉信	0.00	3.20	4.69	25.00	2.69	31.82	327.73	311.35	29.00	29.00	29.00	29.00	   0.0	
300104	乐视网	0.00	-4.82	-4.15	17.46	-8.62	26.28	315.39	286.79	38.15	38.15	38.15	38.15	   0.0	
002252	上海莱士	-0.76	2.32	12.08	31.73	73.94	122.77	307.27	296.46	53.74	56.47	51.86	53.80	  3.93亿	
000748	长城信息	3.04	-0.66	-0.86	8.57	9.73	68.79	295.77	279.69	18.91	19.69	18.91	19.63	 8329万	
000555	*ST太光	1.50	-3.25	-4.90	-1.33	-6.83	13.10	277.59	265.72	24.30	25.20	24.07	24.43	 2894万	
002312	三泰电子	0.92	-0.51	-6.75	-10.87	21.03	39.18	269.95	258.67	17.30	17.70	17.30	17.55	 4304万	
002416	爱施德	1.64	-4.87	-5.16	-13.32	-2.32	0.65	258.11	241.62	18.26	18.95	18.26	18.55	 7912万	
