强弱分析报表 市场:深沪Ａ股 日期:2013-12-25,三 基准:无
代码   	名称	今日强	3日强	5日强	10日强	20日强	60日强	一年来	年初至今	开盘	最高	最低	收盘	总金额	
000001	平安银行	0.17	-1.60	-8.15	-8.72	-13.63	-2.58	27.13	18.31	11.70	11.79	11.53	11.72	  5.90亿	
000002	万  科Ａ	1.02	0.76	-4.24	-7.38	-7.59	-13.93	-15.58	-20.42	7.83	7.93	7.76	7.91	  3.57亿	
000004	国农科技	1.58	2.38	2.65	1.05	-6.98	-9.30	47.58	41.81	11.49	11.60	11.39	11.60	 1026万	
000005	世纪星源	0.00	-0.40	-2.73	-5.68	-6.04	-0.40	-12.32	-16.16	2.48	2.50	2.46	2.49	  717万	
000006	深振业Ａ	-0.79	0.20	-7.51	-9.17	-12.17	6.99	15.52	9.33	5.10	5.10	5.00	5.05	 5030万	
000007	零七股份	-0.69	-2.20	-1.15	-4.30	-9.91	-7.79	-7.72	-10.78	12.99	13.02	12.88	12.91	 1200万	
000008	宝利来	-3.55	-0.11	-0.11	0.00	-3.26	-3.55	85.00	77.07	9.80	9.80	9.37	9.50	 2678万	
000009	中国宝安	1.11	1.00	-1.72	-0.33	-5.69	-11.71	27.13	19.59	9.01	9.15	8.94	9.12	 7480万	
000010	深华新	2.52	5.90	0.52	13.36	-4.69	25.32	65.13	65.13	7.49	7.72	7.43	7.72	 5423万	
000011	深物业A	0.90	1.96	-2.13	-4.29	-0.76	-10.44	21.27	8.62	7.76	7.82	7.66	7.81	 1308万	
000012	南  玻Ａ	1.75	-0.73	-3.33	-8.74	-9.35	-6.00	7.39	0.49	8.02	8.15	7.91	8.14	  1.31亿	
000014	沙河股份	-0.29	3.00	0.88	-3.92	-8.78	-14.53	26.03	21.70	10.18	10.35	10.15	10.29	 3041万	
000016	深康佳Ａ	1.85	1.32	-1.79	-7.45	5.77	10.32	29.63	22.22	3.78	3.86	3.74	3.85	 3001万	
000017	*ST中华A	0.00	-7.10	-12.16	-15.01	0.48	46.50	0.00	0.00	4.19	4.19	4.19	4.19	   0.0	
000018	*ST中冠A	0.79	2.53	2.06	2.41	-5.81	-13.23	38.51	33.33	8.83	8.96	8.79	8.92	  262万	
000019	深深宝Ａ	1.20	2.29	-2.57	-4.53	-2.06	-4.53	5.12	-7.66	7.50	7.61	7.45	7.59	  682万	
000020	深华发Ａ	1.56	1.40	-6.61	-4.27	-3.13	-4.27	9.61	4.50	6.35	6.50	6.35	6.50	  513万	
000021	长城开发	0.58	-1.13	-9.34	-1.69	-3.85	-10.27	19.09	11.73	5.21	5.26	5.16	5.24	 1888万	
000022	深赤湾Ａ	0.36	7.91	6.32	-1.48	1.71	14.04	72.95	69.78	16.54	16.69	16.27	16.65	 7187万	
