"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"CCGM","China CGame, Inc.","Services","Technical Services","China",1.20,,0.06,-25.00%,2450
2,"CHGG","Chegg, Inc.","Services","Education & Training Services","USA",532.59,,6.17,-22.29%,4311873
3,"CSFS","The Cash Store Financial Services, Inc.","Financial","Credit Services","Canada",11.24,,0.64,-32.63%,470160
4,"DCO","Ducommun Inc.","Industrial Goods","Aerospace/Defense Products & Services","USA",260.12,15.07,24.26,-15.65%,237407
5,"DVOX","Dynavox Inc.","Technology","Application Software","USA",0.94,,0.10,-16.42%,12800
6,"DYNT","Dynatronics Corp.","Healthcare","Medical Appliances & Equipment","USA",9.62,,3.82,-16.59%,38870
7,"GMET","Geomet, Inc.","Basic Materials","Oil & Gas Drilling & Exploration","USA",0.95,,0.02,-76.30%,4081240
8,"GSB","GlobalSCAPE, Inc.","Technology","Application Software","USA",45.40,10.08,2.42,-19.60%,1463547
9,"OHRP","Ohr Pharmaceutical, Inc.","Healthcare","Biotechnology","USA",326.12,,13.42,-18.37%,1645125
10,"PRSS","CafePress Inc.","Technology","Internet Information Providers","USA",90.22,,5.26,-20.78%,914749
11,"SCIL","Scientific Learning Corp.","Services","Education & Training Services","USA",7.24,,0.31,-26.19%,1000
12,"TRLA","Trulia, Inc.","Technology","Internet Service Providers","USA",1035.70,,29.97,-17.73%,13161808
13,"WTW","Weight Watchers International, Inc.","Services","Personal Services","USA",1244.69,5.36,22.10,-27.73%,9849502
