"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"ASTI",2.64,0.32,-2.58%,-22.89%,-48.81%,-75.60%,55.49%,46.06,2.83,55.49%,54.64%,0.55%,2082044
2,"IVAN",2.66,0.16,52.27%,16.47%,-28.33%,-66.81%,75.57%,69.94,2.30,55.41%,51.32%,2.70%,12852724
3,"UTHR",1.33,2.54,29.49%,29.41%,21.63%,1.01%,66.71%,81.76,117.83,28.51%,27.84%,0.52%,6386142
4,"NCTY",1.88,0.18,16.86%,13.98%,26.65%,-18.69%,54.81%,64.40,3.22,25.29%,-19.90%,56.42%,6911802
5,"MGT",0.68,0.08,56.93%,58.79%,-24.16%,-68.72%,120.97%,77.13,1.37,23.42%,21.24%,1.80%,415453
6,"CRTO",,1.37,24.12%,18.49%,5.79%,-38.39%,49.24%,70.57,37.55,22.51%,7.04%,14.45%,7375523
7,"VLTC",2.37,0.09,20.15%,12.86%,-32.85%,-65.57%,30.62%,70.45,2.09,22.22%,20.81%,1.17%,331308
8,"VEEV",,0.83,29.32%,25.33%,7.16%,-38.84%,75.16%,78.38,29.97,20.07%,10.84%,8.33%,7507588
9,"SPLK",,1.73,24.30%,14.22%,-13.95%,-49.20%,37.04%,68.98,53.93,19.07%,10.69%,7.57%,20176220
10,"DGLY",0.97,1.84,195.96%,272.60%,189.65%,6.81%,515.84%,79.11,18.66,19.01%,7.74%,10.46%,15660986
11,"EVAR",,0.44,25.14%,15.76%,15.76%,-17.60%,44.52%,,7.68,18.15%,20.57%,-2.00%,38656
12,"RALY",,0.47,18.55%,14.32%,-26.67%,-65.08%,37.38%,67.49,11.54,15.40%,4.91%,10.00%,2304243
13,"SYN",1.41,0.18,35.05%,49.71%,39.32%,-28.02%,175.79%,75.83,2.62,13.91%,12.93%,0.87%,1718582
14,"CEP",0.48,0.10,28.55%,37.80%,55.59%,7.50%,89.71%,83.34,3.87,12.50%,7.80%,4.36%,1169867
15,"GRH",2.35,0.23,1.03%,-7.00%,45.04%,-44.48%,151.25%,51.17,2.01,12.29%,12.29%,0.00%,844337
16,"VMEM",,0.19,10.97%,5.26%,7.40%,-47.12%,68.80%,58.41,4.22,12.23%,12.23%,0.00%,2497412
17,"RSH",1.09,0.12,128.25%,101.92%,-11.05%,-63.30%,190.91%,86.38,1.60,11.89%,8.84%,2.80%,40186784
18,"NAVB",0.50,0.05,13.13%,5.58%,-14.52%,-52.49%,28.83%,65.60,1.43,11.72%,11.72%,0.00%,1009158
19,"LIQD",,0.10,14.54%,-0.32%,-59.28%,-83.79%,39.17%,56.51,1.67,11.33%,5.03%,6.00%,2970118
20,"BEBE",1.08,0.14,15.56%,11.32%,-30.32%,-52.93%,26.05%,66.57,3.29,10.77%,9.30%,1.35%,818448
21,"ATRS",0.35,0.10,14.13%,1.50%,-31.74%,-54.37%,25.67%,60.17,2.35,10.33%,10.85%,-0.47%,2051118
22,"VIV",0.63,0.43,12.12%,8.79%,10.57%,-4.96%,25.06%,69.56,21.40,9.63%,6.73%,2.72%,4998675
