"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"A","Agilent Technologies Inc.","Healthcare","Medical Laboratories & Research","USA",17272.48,25.26,51.71,-0.15%,5348543
2,"AA","Alcoa Inc.","Basic Materials","Aluminum","USA",17075.78,,14.60,0.69%,26265330
3,"AAC","AAC Holdings, Inc.","Healthcare","Specialized Health Services","USA",401.62,647.67,19.40,-0.15%,61872
4,"AADR","AdvisorShares WCM/BNY MlnFcsd GR ADR ETF","Financial","Exchange Traded Fund","USA",,,34.87,1.93%,1033
5,"AAIT","iShares MSCI All Country Asia Info Tech","Financial","Exchange Traded Fund","USA",,,31.41,-0.19%,305
6,"AAL","American Airlines Group Inc.","Services","Major Airlines","USA",22822.82,,32.97,4.04%,24834504
7,"AAMC","Altisource Asset Management Corporation","Financial","Asset Management","USA",1442.56,112.39,664.90,3.25%,6269
8,"AAME","Atlantic American Corp.","Financial","Life Insurance","USA",81.56,15.76,3.94,0.00%,2305
9,"AAN","Aaron's, Inc.","Services","Rental & Leasing Services","USA",1758.58,19.93,24.40,0.33%,550260
10,"AAOI","Applied Optoelectronics, Inc.","Technology","Semiconductor - Integrated Circuits","USA",198.47,111.75,15.10,12.60%,471025
11,"AAON","AAON Inc.","Industrial Goods","General Building Materials","USA",997.33,25.54,17.95,-0.99%,245219
12,"AAP","Advance Auto Parts Inc.","Services","Auto Parts Stores","USA",9743.56,22.29,132.43,-0.81%,1052232
13,"AAPL","Apple Inc.","Consumer Goods","Electronic Equipment","USA",584056.85,15.76,96.26,-1.31%,71762160
14,"AAT","American Assets Trust, Inc.","Financial","REIT - Retail","USA",1498.52,106.55,35.13,-0.09%,137756
15,"AAU","Almaden Minerals Ltd.","Basic Materials","Gold","Canada",84.01,,1.30,0.00%,41370
16,"AAV","Advantage Oil & Gas Ltd.","Basic Materials","Oil & Gas Drilling & Exploration","Canada",740.89,,4.42,1.61%,443732
17,"AAVL","Avalanche Biotechnologies, Inc.","Healthcare","Biotechnology","USA",680.93,,30.41,-0.59%,40125
18,"AAWW","Atlas Air Worldwide Holdings, Inc.","Services","Air Services, Other","USA",820.70,8.98,32.94,1.37%,199035
19,"AAXJ","iShares MSCI All Country Asia ex Japan","Financial","Exchange Traded Fund","USA",,,60.10,-0.35%,1293843
