"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AXN","Aoxing Pharmaceutical Company, Inc.","Healthcare","Drug Manufacturers - Major","USA",78.09,,1.99,68.64%,8443459
2,"BNSO","Bonso Electronics International Inc.","Industrial Goods","Industrial Electrical Equipment","Hong Kong",6.52,,1.48,19.35%,11962
3,"CERE","Ceres, Inc.","Basic Materials","Agricultural Chemicals","USA",14.98,,0.37,20.74%,2369904
4,"CPAH","CounterPath Corporation","Technology","Application Software","Canada",18.82,,0.55,15.63%,11016
5,"CRMD","CorMedix, Inc.","Healthcare","Biotechnology","USA",81.05,,4.23,16.85%,1070988
6,"EGLT","Egalet Corporation","Healthcare","Biotechnology","USA",193.71,,13.58,21.14%,88098
7,"IKNX","Ikonics Corp.","Basic Materials","Specialty Chemicals","USA",34.34,37.78,20.35,19.72%,2800
8,"NBG","National Bank of Greece S.A.","Financial","Money Center Banks","Greece",5519.00,,1.92,19.25%,36950861
9,"OCLS","Oculus Innovative Sciences, Inc.","Healthcare","Drugs - Generic","USA",12.57,1.04,0.97,15.42%,1670659
10,"RGSE","Real Goods Solar, Inc.","Industrial Goods","General Building Materials","USA",21.34,,0.52,28.05%,4036050
11,"SAAS","inContact, Inc.","Technology","Application Software","USA",598.41,,11.28,15.02%,2801709
12,"ZA","Zuoan Fashion Limited","Consumer Goods","Textile - Apparel Clothing","China",17.03,4.69,0.72,18.03%,186646
