"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"RMGN",-0.36,0.07,30.05%,28.06%,-4.29%,-78.86%,66.29%,72.56,1.48,40.95%,23.33%,14.29%,4957227
2,"RTI",1.31,0.95,39.37%,52.99%,49.31%,28.04%,80.74%,85.74,37.81,38.60%,-2.17%,41.68%,10499667
3,"AST",,0.29,55.92%,59.96%,67.89%,-10.06%,311.81%,82.03,6.25,31.30%,27.81%,2.73%,333300
4,"REPH",,0.13,29.69%,35.02%,-2.51%,-56.88%,80.51%,79.54,4.26,29.49%,14.52%,13.07%,258748
5,"GBR",1.04,0.16,18.95%,26.16%,-0.95%,-68.94%,109.63%,64.04,1.76,21.45%,-3.78%,26.22%,117692
6,"STRL",1.09,0.20,7.06%,-29.60%,-57.85%,-69.23%,38.12%,43.71,3.08,19.38%,18.46%,0.78%,741705
7,"EVI",0.37,0.12,12.72%,7.52%,5.18%,-22.86%,24.42%,62.98,2.70,15.88%,8.00%,7.30%,37086
8,"HTBX",,0.50,34.29%,58.64%,62.80%,6.25%,136.11%,78.01,8.50,15.65%,-5.45%,22.31%,510647
9,"MELA",0.13,0.18,19.81%,36.65%,-1.08%,-73.95%,90.09%,66.80,2.11,15.20%,13.44%,1.55%,360251
10,"NPTN",0.61,0.21,38.15%,43.51%,40.73%,-44.05%,113.64%,80.47,4.70,15.20%,12.17%,2.70%,426036
11,"WLL",1.97,2.41,7.73%,18.16%,-36.38%,-57.99%,61.79%,61.65,39.04,14.72%,2.47%,11.96%,19461676
12,"PNK",1.89,0.70,22.38%,33.74%,30.53%,13.95%,59.10%,89.55,31.28,14.08%,-5.75%,21.04%,7164530
13,"GPRE",1.30,1.34,15.83%,19.67%,-9.55%,-37.63%,42.12%,71.83,28.86,12.84%,7.03%,5.43%,3734381
14,"CCSC",1.16,0.26,7.75%,-3.85%,-29.06%,-57.80%,20.42%,55.19,4.60,12.47%,2.45%,9.78%,132405
15,"CFRX",,0.35,22.43%,22.33%,41.21%,-5.82%,107.20%,71.72,5.18,12.36%,10.21%,1.95%,203482
16,"CBMG",2.61,1.77,39.34%,87.51%,120.09%,-2.15%,745.90%,88.84,38.15,12.24%,8.20%,3.74%,170106
17,"CYTX",2.91,0.12,63.89%,107.63%,7.82%,-62.15%,241.67%,79.65,1.23,10.81%,6.03%,4.50%,5694648
